00F8	oslash	LATIN SMALL LETTER O WITH STROKE	Uni.: 5.1; MUFI: 3.0
00F9	ugrave	LATIN SMALL LETTER U WITH GRAVE	Uni.: 5.1; MUFI: 3.0
00FA	uacute	LATIN SMALL LETTER U WITH ACUTE	Uni.: 5.1; MUFI: 3.0
00FB	ucirc	LATIN SMALL LETTER U WITH CIRCUMFLEX	Uni.: 5.1; MUFI: 3.0
00FC	uuml	LATIN SMALL LETTER U WITH DIAERESIS	Uni.: 5.1; MUFI: 3.0
00FD	yacute	LATIN SMALL LETTER Y WITH ACUTE	Uni.: 5.1; MUFI: 3.0
00FE	thorn	LATIN SMALL LETTER THORN	Uni.: 5.1; MUFI: 3.0
00FF	yuml	LATIN SMALL LETTER Y WITH DIAERESIS	Uni.: 5.1; MUFI: 3.0
0100	Amacr	LATIN CAPITAL LETTER A WITH MACRON	Uni.: 5.1; MUFI: 3.0
0101	amacr	LATIN SMALL LETTER A WITH MACRON	Uni.: 5.1; MUFI: 3.0
0102	Abreve	LATIN CAPITAL LETTER A WITH BREVE	Uni.: 5.1; MUFI: 3.0
0103	abreve	LATIN SMALL LETTER A WITH BREVE	Uni.: 5.1; MUFI: 3.0
0104	Aogon	LATIN CAPITAL LETTER A WITH OGONEK	Uni.: 5.1; MUFI: 3.0
0105	aogon	LATIN SMALL LETTER A WITH OGONEK	Uni.: 5.1; MUFI: 3.0
0106	Cacute	LATIN CAPITAL LETTER C WITH ACUTE	Uni.: 5.1; MUFI: 3.0
0107	cacute	LATIN SMALL LETTER C WITH ACUTE	Uni.: 5.1; MUFI: 3.0
010A	Cdot	LATIN CAPITAL LETTER C WITH DOT ABOVE	Uni.: 5.1; MUFI: 3.0
010B	cdot	LATIN SMALL LETTER C WITH DOT ABOVE	Uni.: 5.1; MUFI: 3.0
0110	Dstrok	LATIN CAPITAL LETTER D WITH STROKE	Uni.: 5.1; MUFI: 3.0
0111	dstrok	LATIN SMALL LETTER D WITH STROKE	Uni.: 5.1; MUFI: 3.0
0112	Emacr	LATIN CAPITAL LETTER E WITH MACRON	Uni.: 5.1; MUFI: 3.0
0113	emacr	LATIN SMALL LETTER E WITH MACRON	Uni.: 5.1; MUFI: 3.0
0114	Ebreve	LATIN CAPITAL LETTER E WITH BREVE	Uni.: 5.1; MUFI: 3.0
0115	ebreve	LATIN SMALL LETTER E WITH BREVE	Uni.: 5.1; MUFI: 3.0
0116	Edot	LATIN CAPITAL LETTER E WITH DOT ABOVE	Uni.: 5.1; MUFI: 3.0
0117	edot	LATIN SMALL LETTER E WITH DOT ABOVE	Uni.: 5.1; MUFI: 3.0
0118	Eogon	LATIN CAPITAL LETTER E WITH OGONEK	Uni.: 5.1; MUFI: 3.0
0119	eogon	LATIN SMALL LETTER E WITH OGONEK	Uni.: 5.1; MUFI: 3.0
0120	Gdot	LATIN CAPITAL LETTER G WITH DOT ABOVE	Uni.: 5.1; MUFI: 3.0
0121	gdot	LATIN SMALL LETTER G WITH DOT ABOVE	Uni.: 5.1; MUFI: 3.0
0127	hstrok	LATIN SMALL LETTER H WITH STROKE	Uni.: 5.1; MUFI: 3.0
012A	Imacr	LATIN CAPITAL LETTER I WITH MACRON	Uni.: 5.1; MUFI: 3.0
012B	imacr	LATIN SMALL LETTER I WITH MACRON	Uni.: 5.1; MUFI: 3.0
012C	Ibreve	LATIN CAPITAL LETTER I WITH BREVE	Uni.: 5.1; MUFI: 3.0
012D	ibreve	LATIN SMALL LETTER I WITH BREVE	Uni.: 5.1; MUFI: 3.0
012E	Iogon	LATIN CAPITAL LETTER I WITH OGONEK	Uni.: 5.1; MUFI: 3.0
012F	iogon	LATIN SMALL LETTER I WITH OGONEK	Uni.: 5.1; MUFI: 3.0
0130	Idot	LATIN CAPITAL LETTER I WITH DOT ABOVE	Uni.: 5.1; MUFI: 3.0
0131	inodot	LATIN SMALL LETTER DOTLESS I	Uni.: 5.1; MUFI: 3.0
0132	IJlig	LATIN CAPITAL LIGATURE IJ	Uni.: 5.1; MUFI: 3.0	IJ
0133	ijlig	LATIN SMALL LIGATURE IJ	Uni.: 5.1; MUFI: 3.0	ij
0139	Lacute	LATIN CAPITAL LETTER L WITH ACUTE	Uni.: 5.1; MUFI: 3.0
013A	lacute	LATIN SMALL LETTER L WITH ACUTE	Uni.: 5.1; MUFI: 3.0
0141	Lstrok	LATIN CAPITAL LETTER L WITH STROKE	Uni.: 5.1; MUFI: 3.0
0142	lstrok	LATIN SMALL LETTER L WITH STROKE	Uni.: 5.1; MUFI: 3.0
0143	Nacute	LATIN CAPITAL LETTER N WITH ACUTE	Uni.: 5.1; MUFI: 3.0
0144	nacute	LATIN SMALL LETTER N WITH ACUTE	Uni.: 5.1; MUFI: 3.0
014A	ENG	LATIN CAPITAL LETTER ENG	Uni.: 5.1; MUFI: 3.0
014B	eng	LATIN SMALL LETTER ENG	Uni.: 5.1; MUFI: 3.0
014C	Omacr	LATIN CAPITAL LETTER O WITH MACRON	Uni.: 5.1; MUFI: 3.0
014D	omacr	LATIN SMALL LETTER O WITH MACRON	Uni.: 5.1; MUFI: 3.0
014E	Obreve	LATIN CAPITAL LETTER O WITH BREVE	Uni.: 5.1; MUFI: 3.0
